candidat,famille,present_vague_29_aout,nouveau_v75
Marine Le Pen,RN,Oui,Non
Édouard Philippe,Horizons / centre,Oui,Non
Jean-Luc Mélenchon,LFI,Oui,Non
Raphaël Glucksmann,Place publique / PS,Oui,Non
Gabriel Attal,Renaissance / centre,Oui,Non
François Hollande,PS,Oui,Non
François Ruffin,Gauche,Oui,Oui
Bruno Retailleau,LR,Oui,Non
Éric Zemmour,Reconquête,Oui,Non
Fabien Roussel,PCF,Oui,Non
Marine Tondelier,Les Écologistes,Oui,Non
Olivier Faure,PS,Oui,Oui
David Lisnard,Nouvelle Énergie / droite,Oui,Oui
Nicolas Dupont-Aignan,Debout la France,Oui,Non
Dominique de Villepin,Centre / droite,Oui,Non
Nathalie Arthaud,Lutte ouvrière,Oui,Non
