date,type,description
2026-07-12,Version 6,"Ajout du comparateur de programmes économiques, des chiffrages et des contraintes de faisabilité."
2026-07-12,Version 5,Séparation complète Premier tour / Second tour et ajout des trois duels Ifop de juillet.
2026-07-12,Version 2,"Nouvelle interface, onglets, courbes de tendance, indicateurs et journal des changements."
2026-07-09,Nouveau sondage,Ajout de la vague Ifop LCI / Le Figaro avec les principaux scores vérifiés.
2026-06-15,Nouveau sondage,Ajout de la vague OpinionWay / JDD.
2026-06-01,Nouveau sondage,Ajout de la vague Ipsos bva / Le Parisien / CESI.
2026-08-01,,"Ajout du bandeau de fraîcheur, de l'état des instituts et de l'inventaire des données."
2026-08-24,Version 7.2,Ajout du sondage Elabe des 9-10 juillet (premier et second tours) et d'une veille hebdomadaire automatique des nouveaux sondages.
2026-08-24,Version 7.3,Dernière vague Toluna Harris Interactive M6/RTL du 24 août vérifiée; ajout du registre Commission des sondages et séparation stricte entre intentions de vote et baromètres.
2026-08-30,Version 7.4,Elabe 29 août + Ifop 26 août + analyse des reports de voix au second tour.
