publication,terrain_start,terrain_end,institut,commanditaire,poll_id,scenario_id,scenario,candidat,score,echantillon
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Bruno Retailleau,7.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Dominique de Villepin,3.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Édouard Philippe,18.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Éric Zemmour,3.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Fabien Roussel,2.1,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Jean-Luc Mélenchon,17.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Marine Le Pen,30.0,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Marine Tondelier,2.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Nathalie Arthaud,0.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Nicolas Dupont-Aignan,2.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S1,Philippe + Glucksmann + Tondelier,Raphaël Glucksmann,11.6,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Bruno Retailleau,8.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Dominique de Villepin,4.0,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Éric Zemmour,4.0,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Fabien Roussel,2.1,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Gabriel Attal,13.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Jean-Luc Mélenchon,18.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Marine Le Pen,31.6,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Marine Tondelier,2.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Nathalie Arthaud,0.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Nicolas Dupont-Aignan,2.8,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S2,Attal + Glucksmann + Tondelier,Raphaël Glucksmann,11.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Bruno Retailleau,6.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,David Lisnard,4.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Dominique de Villepin,3.5,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Édouard Philippe,16.8,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Éric Zemmour,3.3,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Fabien Roussel,1.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,François Ruffin,3.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Jean-Luc Mélenchon,16.9,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Marine Le Pen,29.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Nathalie Arthaud,0.8,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Nicolas Dupont-Aignan,2.2,1628
2026-09-05,2026-08-31,2026-09-01,Cluster17,Le Point,C17-2026-09,S3,Philippe + Glucksmann + Ruffin + Lisnard,Raphaël Glucksmann,10.8,1628
