publication,institut,tour,candidat_ou_duel,score,source_url
2026-08-29,Elabe,1er tour,Marine Le Pen,"34–35,5 %",https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,1er tour,Édouard Philippe,"17–20,5 %",https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,1er tour,Jean-Luc Mélenchon,"14–14,5 %",https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,1er tour,Raphaël Glucksmann,"11,5–14 %",https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,1er tour,Gabriel Attal,"12–12,5 %",https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,2nd tour,Le Pen / Philippe,"52,5 / 47,5",https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,2nd tour,Le Pen / Attal,57 / 43,https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,2nd tour,Le Pen / Glucksmann,57 / 43,https://elabe.fr/presidentielle-2027-aout/
2026-08-29,Elabe,2nd tour,Le Pen / Mélenchon,"69,5 / 30,5",https://elabe.fr/presidentielle-2027-aout/
2026-08-26,Ifop-Fiducial,2nd tour,Le Pen / Philippe,52 / 48,https://www.leparisien.fr/elections/presidentielle/presidentielle-2027-un-nouveau-sondage-donne-jean-luc-melenchon-au-second-tour-face-a-marine-le-pen-26-08-2026-DR3G2VWKPJCRFEM2SHEQUD5SWQ.php
2026-08-26,Ifop-Fiducial,2nd tour,Le Pen / Attal,54 / 46,https://www.leparisien.fr/elections/presidentielle/presidentielle-2027-un-nouveau-sondage-donne-jean-luc-melenchon-au-second-tour-face-a-marine-le-pen-26-08-2026-DR3G2VWKPJCRFEM2SHEQUD5SWQ.php
2026-08-26,Ifop-Fiducial,2nd tour,Le Pen / Glucksmann,55 / 45,https://www.leparisien.fr/elections/presidentielle/presidentielle-2027-un-nouveau-sondage-donne-jean-luc-melenchon-au-second-tour-face-a-marine-le-pen-26-08-2026-DR3G2VWKPJCRFEM2SHEQUD5SWQ.php
2026-08-26,Ifop-Fiducial,2nd tour,Le Pen / Mélenchon,67 / 33,https://www.leparisien.fr/elections/presidentielle/presidentielle-2027-un-nouveau-sondage-donne-jean-luc-melenchon-au-second-tour-face-a-marine-le-pen-26-08-2026-DR3G2VWKPJCRFEM2SHEQUD5SWQ.php
2026-08-26,Ifop-Fiducial,2nd tour,Le Pen / Retailleau,58 / 42,https://www.leparisien.fr/elections/presidentielle/presidentielle-2027-un-nouveau-sondage-donne-jean-luc-melenchon-au-second-tour-face-a-marine-le-pen-26-08-2026-DR3G2VWKPJCRFEM2SHEQUD5SWQ.php
