publication,institut,media,objet,notice_commission,priorite,iv_premier_tour
2026-08-29,Elabe,BFMTV / La Tribune Dimanche,Intentions de vote présidentielle,10245,Priorité maximale,Oui
2026-08-24,Toluna Harris Interactive,RTL,Intentions de vote présidentielle,10239,Priorité haute,Oui
2026-08-08,YouGov,HuffPost,Baromètre politique,10238,Contexte,Non
2026-08,Cluster17,Le Point,Baromètre / présidentielle,10237,À qualifier,À vérifier
2026-07-31,Toluna Harris Interactive,LCI,Baromètre politique,10236,Contexte,Non
2026-07-30,Elabe,,Observatoire politique,10235,Contexte,Non
2026-07-23,Verian,Le Figaro Magazine,Baromètre stature,10233,Contexte,Non
2026-07-18,Ipsos BVA,La Tribune Dimanche,Baromètre politique,10231,Contexte,Non
2026-07-16,Odoxa,,Présidentielle,10230,À qualifier,À vérifier
2026-07-14,Cluster17,Le Point,Baromètre présidentielle,10228,À qualifier,À vérifier
2026-07-10,Verian,L'Hémicycle,Intentions de vote 1er tour,10225,Priorité haute,Oui
2026-07-09,OpinionWay,Les Echos,Presitrack,10224,Priorité haute,Oui
2026-07-08,Toluna Harris Interactive,RTL,Intentions de vote,10223,Priorité haute,Oui
2026-07-08,Ifop,Le Figaro,Intentions de vote,10222,Priorité haute,Oui
