publication,terrain_start,terrain_end,institut,commanditaire,duel_id,duel,candidat,score,echantillon_exprimes,nsp_pct,source_url
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07-MLP-PHILIPPE,Marine Le Pen vs Édouard Philippe,Marine Le Pen,54.0,589,28.2,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07-MLP-PHILIPPE,Marine Le Pen vs Édouard Philippe,Édouard Philippe,46.0,589,28.2,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07-MLP-ATTAL,Marine Le Pen vs Gabriel Attal,Marine Le Pen,55.0,581,29.2,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07-MLP-ATTAL,Marine Le Pen vs Gabriel Attal,Gabriel Attal,45.0,581,29.2,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07-MLP-MELENCHON,Marine Le Pen vs Jean-Luc Mélenchon,Marine Le Pen,70.0,498,38.9,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07-MLP-MELENCHON,Marine Le Pen vs Jean-Luc Mélenchon,Jean-Luc Mélenchon,30.0,498,38.9,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-PHILIPPE,Marine Le Pen vs Édouard Philippe,Marine Le Pen,52.0,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-PHILIPPE,Marine Le Pen vs Édouard Philippe,Édouard Philippe,48.0,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-ATTAL,Marine Le Pen vs Gabriel Attal,Marine Le Pen,54.0,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-ATTAL,Marine Le Pen vs Gabriel Attal,Gabriel Attal,46.0,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-MELENCHON,Marine Le Pen vs Jean-Luc Mélenchon,Marine Le Pen,67.5,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-MELENCHON,Marine Le Pen vs Jean-Luc Mélenchon,Jean-Luc Mélenchon,32.5,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-GLUCKSMANN,Marine Le Pen vs Raphaël Glucksmann,Marine Le Pen,58.5,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-GLUCKSMANN,Marine Le Pen vs Raphaël Glucksmann,Raphaël Glucksmann,41.5,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-RETAILLEAU,Marine Le Pen vs Bruno Retailleau,Marine Le Pen,56.0,1503,,https://elabe.fr/presidentielle-2027-iv3/
2026-07-11,2026-07-09,2026-07-10,Elabe,BFMTV / La Tribune Dimanche,ELABE-2026-07-MLP-RETAILLEAU,Marine Le Pen vs Bruno Retailleau,Bruno Retailleau,44.0,1503,,https://elabe.fr/presidentielle-2027-iv3/
