candidat,score_min,score_max,famille,position,lecture,score_central
Marine Le Pen,34.0,35.5,RN,Très largement en tête,Capte près de 80 % de l'électorat RN 2024 et ~20 % des électeurs LR,34.75
Édouard Philippe,17.0,20.5,Horizons / centre,2e place,Meilleur score que Gabriel Attal dans les configurations comparables,18.75
Jean-Luc Mélenchon,14.0,14.5,LFI,3e/4e selon scénario,Peut se qualifier face à une candidature centrale dispersée,14.25
Raphaël Glucksmann,11.5,14.0,Place publique / PS,En progression,Dynamique positive après annonce de candidature à la primaire socialiste,12.75
Gabriel Attal,12.0,12.5,Renaissance / centre,En recul,S'appuie sur 42–44 % des électeurs Ensemble,12.25
François Hollande,7.5,8.0,PS,Hypothèse testée,Moins bien placé que Glucksmann,7.75
François Ruffin,6.0,6.0,Gauche,Nouveau candidat testé,Fait mieux que Marine Tondelier,6.0
Bruno Retailleau,6.0,7.0,LR,Léger recul,21–26 % des électeurs LR face à Philippe ; jusqu'à 38–40 % face à Attal,6.5
Éric Zemmour,4.0,4.5,Reconquête,Stable / bas,,4.25
Fabien Roussel,3.0,4.5,PCF,Variable,,3.75
Marine Tondelier,3.0,4.0,Les Écologistes,Hypothèse testée,,3.5
Olivier Faure,3.5,3.5,PS,Nouveau candidat testé,,3.5
David Lisnard,3.0,3.5,Nouvelle Énergie / droite,Nouveau candidat testé,,3.25
Nicolas Dupont-Aignan,2.0,3.0,Debout la France,Bas,,2.5
Dominique de Villepin,2.0,2.5,Centre / droite,Bas,,2.25
Nathalie Arthaud,1.5,2.0,Lutte ouvrière,Bas,,1.75
